2018-09-20 16:20:25,606 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49764]正在接收树莓派传输的数据
2018-09-20 16:20:25,947 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:20:25,950 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49766]正在接收树莓派传输的数据
2018-09-20 16:20:25,958 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:20:25,959 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49767]正在接收树莓派传输的数据
2018-09-20 16:20:25,963 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:20:30,522 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49779]正在接收树莓派传输的数据
2018-09-20 16:20:30,530 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:20:30,532 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49780]正在接收树莓派传输的数据
2018-09-20 16:20:30,538 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:20:30,538 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49781]正在接收树莓派传输的数据
2018-09-20 16:20:30,542 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:20:30,676 [main] INFO  [com.briup.util.Impl.LogImpl] - 服务器端开启一个socket:Socket[addr=/127.0.0.1,port=49783,localport=9999]
2018-09-20 16:20:35,534 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49802]正在接收树莓派传输的数据
2018-09-20 16:20:35,555 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:20:35,556 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49803]正在接收树莓派传输的数据
2018-09-20 16:20:35,559 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:20:35,559 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49804]正在接收树莓派传输的数据
2018-09-20 16:20:35,563 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:20:40,529 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49817]正在接收树莓派传输的数据
2018-09-20 16:20:40,539 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:20:40,547 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49818]正在接收树莓派传输的数据
2018-09-20 16:20:40,558 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:20:40,559 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49819]正在接收树莓派传输的数据
2018-09-20 16:20:40,569 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:20:45,531 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49830]正在接收树莓派传输的数据
2018-09-20 16:20:45,536 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:20:45,537 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49831]正在接收树莓派传输的数据
2018-09-20 16:20:45,542 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:20:45,543 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49832]正在接收树莓派传输的数据
2018-09-20 16:20:45,549 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:20:45,644 [main] INFO  [com.briup.util.Impl.LogImpl] - 服务器端开启一个socket:Socket[addr=/127.0.0.1,port=49833,localport=9999]
2018-09-20 16:20:50,535 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49847]正在接收树莓派传输的数据
2018-09-20 16:20:50,544 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:20:50,546 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49848]正在接收树莓派传输的数据
2018-09-20 16:20:50,550 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:20:50,550 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49849]正在接收树莓派传输的数据
2018-09-20 16:20:50,554 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:20:55,538 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49866]正在接收树莓派传输的数据
2018-09-20 16:20:55,545 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
